1   2   4
2   3   64
3   4   64
4   5   64
5   6   16
6	7	14
6	8	14
7	11	56
8	9	14
9	10	56
10	11	56
11	18	112
12	18	7
12	13	224
13	14	224
14	15	224
15	16	224
16	17	448
17	12	224
18	12	448
18	19	112
19	20	112
19	22	28
19	23	28
19	24	112
19	25	56
20	21	56
20	22	14
21	26	56
22	23	28
23	24	14
24	25	56
25	26	56
26	27	56
27	28	56
27	31	56
28	29	14
29	30	14
30	31	56
31	32	112
32	39	112
33	39	7
33	34	224
34	35	224
35	36	224
36	37	224
37	38	448
38	33	224
39	33	448
39	40	112
40	41	112
40	43	28
40	44	28
40	45	112
40	46	56
41	42	56
41	43	14
42	47	56
43	44	28
44	45	14
45	46	56
46	47	56
47	48	56
48	49	56
48	52	56
49	50	14
50	51	14
51	52	56
52	53	112
53	60	112
54	60	7
54	55	224
55	56	224
56	57	224
57	58	224
58	59	448
59	54	224
60	54	448
60	61	112
61	62	112
61	64	28
61	65	28
61	66	112
61	67	56
62	63	56
62	64	14
63	68	56
64	65	28
65	66	14
66	67	56
67	68	56
68	69	56
69  70  56
70	71	28
70	72	28
71	75	112
72	73	28
73	74	112
74	75	112
75	81	224
76	81	14
76	77	448
77	78	448
78	79	448
79	80	448
80	81	896
81	76	448
