1	2	8
1	3	1
1	6	1
1	7	1
1	8	4
1	10	8
1	14	8
2	3	4
2	5	2
3	4	2
4	5	2
4	6	2
5	16	2
6	7	1
7	8	2
7	10	1
8	9	8
9	10	4
9	13	4
10	11	1
10	12	32
11	12	1
12	16	32
13	14	2
13	15	4
14	15	32
15	16	16
16	17	32
17	18	32
17	20	8
17	21	8
17	22	32
17	23	16
18	19	16
18	20	4
19	24	16
20	21	8
21	22	4
22	23	16
23	24	16
24	25	16
25	32	16
26	32	1
26	27	32
27	28	32
28	29	32
29	30	32
30	31	64
31	26	32
32	26	64
32	33	16
33  34  16
34	35	16
34	36	2
34	39	2
34	40	2
34	41	8
34	43	16
34	47	16
35	36	8
35	38	4
36	37	4
37	38	4
37	39	4
38	49	4
39	40	2
40	41	4
40	43	2
41	42	16
42	43	8
42	46	8
43	44	2
43	45	64
44	45	2
45	49	64
46	47	4
46	48	8
47	48	64
48	49	32
49	50	64
50	51	64
50	53	16
50	54	16
50	55	64
50	56	32
51	52	32
51	53	8
52	57	32
53	54	16
54	55	8
55	56	32
56	57	32
57	58	32
58	65	32
59	65	2
59	60	64
60	61	64
61	62	64
62	63	64
63	64	128
64	59	64
65	59	128
65	66	32
66  67  8
67	68	8
67	69	1
67	72	1
67	73	1
67	74	4
67	76	8
67	80	8
68	69	4
68	71	2
69	70	2
70	71	2
70	72	2
71	81	2
72	73	1
73	74	2
73	76	1
74	75	8
75	76	4
75	79	4
76	77	1
76	78	32
77	78	1
78	81	32
79	80	2
79	81	4
80	81	32
